time,open,high,low,close,date,time_str
1738825610000,1738825610964,1738825610964,1738825610964,1738825610964,2025-02-06,07:06:50.000Z
1738825610000,1738825611995,1738825614121,1738825611995,1738825614121,2025-02-06,07:06:50.000Z
1738825615000,1738825615123,1738825615123,1738825615123,1738825615123,2025-02-06,07:06:55.000Z
1738825615000,1738825616139,1738825619716,1738825616139,1738825619716,2025-02-06,07:06:55.000Z
1738825620000,1738825621061,1738825624748,1738825621061,1738825624748,2025-02-06,07:07:00.000Z
1738825625000,1738825625763,1738825625763,1738825625763,1738825625763,2025-02-06,07:07:05.000Z
1738825625000,1738825626779,1738825629115,1738825626779,1738825629115,2025-02-06,07:07:05.000Z
1738825630000,1738825630445,1738825630445,1738825630445,1738825630445,2025-02-06,07:07:10.000Z
1738825630000,1738825631935,1738825633966,1738825631935,1738825633966,2025-02-06,07:07:10.000Z
1738825635000,1738825635295,1738825635295,1738825635295,1738825635295,2025-02-06,07:07:15.000Z
1738825635000,1738825636759,1738825639094,1738825636759,1738825639094,2025-02-06,07:07:15.000Z
1738825640000,1738825640392,1738825640392,1738825640392,1738825640392,2025-02-06,07:07:20.000Z
1738825640000,1738825641580,1738825644892,1738825641580,1738825644892,2025-02-06,07:07:20.000Z
1738825645000,1738825645897,1738825645897,1738825645897,1738825645897,2025-02-06,07:07:25.000Z
1738825645000,1738825646913,1738825649053,1738825646913,1738825649053,2025-02-06,07:07:25.000Z
1738825650000,1738825650305,1738825650305,1738825650305,1738825650305,2025-02-06,07:07:30.000Z
1738825650000,1738825651320,1738825654352,1738825651320,1738825654352,2025-02-06,07:07:30.000Z
1738825655000,1738825655364,1738825655364,1738825655364,1738825655364,2025-02-06,07:07:35.000Z
1738825655000,1738825656927,1738825659256,1738825656927,1738825659256,2025-02-06,07:07:35.000Z
1738825660000,1738825660360,1738825660360,1738825660360,1738825660360,2025-02-06,07:07:40.000Z
1738825660000,1738825661443,1738825664869,1738825661443,1738825664869,2025-02-06,07:07:40.000Z
1738825665000,1738825666196,1738825669661,1738825666196,1738825669661,2025-02-06,07:07:45.000Z
1738825670000,1738825670718,1738825670718,1738825670718,1738825670718,2025-02-06,07:07:50.000Z
1738825670000,1738825671945,1738825674152,1738825671945,1738825674152,2025-02-06,07:07:50.000Z
1738825675000,1738825675171,1738825675171,1738825675171,1738825675171,2025-02-06,07:07:55.000Z
1738825675000,1738825676191,1738825679223,1738825676191,1738825679223,2025-02-06,07:07:55.000Z
1738825680000,1738825680225,1738825680225,1738825680225,1738825680225,2025-02-06,07:08:00.000Z
